ID,month,amount,section
tidy1,September,8.31660000000001,tidy
tidy1,October,20.70800000000002,tidy
tidy1,December,13.159600000000012,tidy
tidy2,September,6.529700000000005,tidy
tidy2,October,14.161600000000009,tidy
tidy2,December,10.08680000000001,tidy
tidy3,September,4.275200000000004,tidy
tidy3,October,16.68330000000001,tidy
tidy3,December,18.704000000000015,tidy
tidy4,September,7.515000000000006,tidy
tidy4,October,16.950500000000016,tidy
tidy4,December,17.18430000000001,tidy
tidy5,September,6.479600000000008,tidy
tidy5,October,28.172900000000016,tidy
tidy5,December,24.89970000000002,tidy
tidy6,September,12.307900000000014,tidy
tidy6,October,24.866300000000024,tidy
tidy6,December,11.055400000000006,tidy
tidy7,September,7.748800000000006,tidy
tidy7,October,13.927800000000012,tidy
tidy7,December,10.921800000000008,tidy
tidy8,September,5.460900000000005,tidy
tidy8,October,17.05070000000002,tidy
tidy8,December,0.6679999999999997,tidy
tidy9,September,15.63120000000002,tidy
tidy9,October,36.77340000000001,tidy
tidy9,December,12.641900000000007,tidy
tidy10,September,3.206400000000002,tidy
tidy10,October,9.468900000000007,tidy
tidy10,December,7.9659000000000075,tidy
tidy11,September,11.523000000000017,tidy
tidy11,October,20.207000000000015,tidy
tidy11,December,24.966500000000025,tidy
tidy12,September,19.689300000000014,tidy
tidy12,October,22.428100000000015,tidy
tidy12,December,15.84830000000001,tidy
tidy13,September,4.492300000000005,tidy
tidy13,October,13.309900000000017,tidy
tidy13,December,7.197700000000007,tidy
tidy14,September,9.034700000000008,tidy
tidy14,October,17.568400000000008,tidy
tidy14,December,11.489600000000006,tidy
tidy15,September,7.264500000000007,tidy
tidy15,October,16.34930000000002,tidy
tidy15,December,9.819600000000008,tidy
tidy16,September,5.0434000000000045,tidy
tidy16,October,3.974600000000004,tidy
tidy16,December,0,tidy
tidy17,September,13.877700000000013,tidy
tidy17,October,26.03530000000002,tidy
tidy17,December,8.333300000000008,tidy
tidy18,September,10.387400000000008,tidy
tidy18,October,13.109500000000008,tidy
tidy18,December,16.299200000000013,tidy
tidy19,September,6.2959000000000085,tidy
tidy19,October,3.189700000000003,tidy
tidy19,December,0,tidy
tidy20,September,14.679300000000021,tidy
tidy20,October,21.359300000000015,tidy
tidy20,December,23.313200000000027,tidy
tidy21,September,17.75210000000001,tidy
tidy21,October,35.65450000000002,tidy
tidy21,December,13.861000000000008,tidy
formula1,September,14.178300000000018,formula
formula1,October,15.313900000000011,formula
formula1,November,13.226400000000009,formula
formula1,December,7.832300000000004,formula
formula2,September,8.684000000000008,formula
formula2,October,14.078100000000012,formula
formula2,November,9.669300000000009,formula
formula2,December,6.963900000000007,formula
formula3,September,11.155600000000009,formula
formula3,October,18.203000000000017,formula
formula3,November,12.29120000000001,formula
formula3,December,12.608500000000014,formula
formula4,September,9.352000000000013,formula
formula4,October,14.87970000000001,formula
formula4,November,7.8657000000000075,formula
formula4,December,11.940500000000013,formula
formula5,September,9.001300000000008,formula
formula5,October,12.64190000000001,formula
formula5,November,9.18500000000001,formula
formula5,December,10.320600000000011,formula
formula6,September,14.17830000000002,formula
formula6,October,12.641900000000012,formula
formula6,November,9.602500000000008,formula
formula6,December,23.34660000000002,formula
formula7,September,7.915800000000008,formula
formula7,October,9.134900000000007,formula
formula7,November,7.3146000000000075,formula
formula7,December,5.260500000000004,formula
formula8,September,9.752800000000008,formula
formula8,October,10.604500000000012,formula
formula8,November,4.124900000000004,formula
formula8,December,3.874400000000004,formula
formula9,September,17.53500000000002,formula
formula9,October,13.677300000000006,formula
formula9,November,15.080100000000005,formula
formula9,December,9.452200000000008,formula
formula10,September,9.63590000000001,formula
formula10,October,12.090800000000009,formula
formula10,November,10.838300000000007,formula
formula10,December,5.544400000000003,formula
formula11,September,11.05540000000001,formula
formula11,October,31.880299999999984,formula
formula11,November,14.712700000000009,formula
formula11,December,7.615200000000007,formula
formula12,September,7.214400000000009,formula
formula12,October,9.452200000000008,formula
formula12,November,6.245800000000006,formula
formula12,December,5.511000000000005,formula
formula13,September,19.30520000000002,formula
formula13,October,20.991900000000026,formula
formula13,November,5.761500000000006,formula
formula13,December,21.543000000000024,formula
formula14,September,9.585800000000013,formula
formula14,October,10.85500000000001,formula
formula14,November,11.389400000000007,formula
formula14,December,9.502300000000005,formula
formula15,September,12.77550000000002,formula
formula15,October,2.054100000000001,formula
formula15,November,2.722100000000003,formula
formula15,December,0,formula
formula16,September,14.428800000000015,formula
formula16,October,51.92030000000013,formula
formula16,November,29.2083,formula
formula16,December,16.165600000000005,formula
formula17,September,14.12820000000001,formula
formula17,October,14.629200000000012,formula
formula17,November,0.7347999999999999,formula
formula17,December,0,formula
formula18,September,8.032700000000009,formula
formula18,October,14.22840000000001,formula
formula18,November,5.327300000000004,formula
formula18,December,6.312600000000007,formula
formula19,September,11.406100000000013,formula
formula19,October,16.86700000000002,formula
formula19,November,10.82160000000001,formula
formula19,December,7.064100000000007,formula
formula20,September,8.316600000000012,formula
formula20,October,8.684000000000008,formula
formula20,November,7.2144000000000075,formula
formula20,December,10.771500000000007,formula
